id,symbol,category
btc-bitcoin,BTC,Layer 1s
eth-ethereum,ETH,Layer 1s
xrp-xrp,XRP,Payments
usdt-tether,USDT,Stablecoins
bnb-binance-coin,BNB,Exchange & CeFi Tokens
sol-solana,SOL,Layer 1s
usdc-usd-coin,USDC,Stablecoins
steth-lido-staked-ether,STETH,Liquid Staking
doge-dogecoin,DOGE,Memecoins
ada-cardano,ADA,Layer 1s
trx-tron,TRX,Payments
wsteth-wrapped-liquid-staked-ether-20,WSTETH,Liquid Staking
weth-weth,WETH,Other
hype-hyperliquid,HYPE,DeFi Core
wbtc-wrapped-bitcoin,WBTC,DeFi Core
link-chainlink,LINK,"Data, Oracles & Storage"
weeth-wrapped-eeth,WEETH,Other
sui-sui,SUI,Layer 1s
bch-bitcoin-cash,BCH,Payments
xlm-stellar,XLM,Payments
okb-okb,OKB,Exchange & CeFi Tokens
avax-avalanche,AVAX,Layer 1s
hbar-hedera-hashgraph,HBAR,Layer 1s
leo-leo-token,LEO,Exchange & CeFi Tokens
ltc-litecoin,LTC,Payments
btcb-binance-bitcoin,BTCB,Other
toncoin-the-open-network,TON,Layer 1s
usds-usds,USDS,Other
shib-shiba-inu,SHIB,Memecoins
cro-cryptocom-chain,CRO,Exchange & CeFi Tokens
wbt-whitebit,WBT,Other
dot-polkadot,DOT,Layer 1s
bgb-bitget-token,BGB,Exchange & CeFi Tokens
uni-uniswap,UNI,DeFi Core
usde-ethena-usde,USDE,Stablecoins
cbbtc-coinbase-wrapped-btc,CBBTC,Other
xmr-monero,XMR,Layer 1s
susde-ethena-staked-usde,SUSDE,Other
ena-ethena,ENA,DeFi Core
aave-new,AAVE,DeFi Core
wlfi-official-world-liberty-financial,WLFI,Layer 1s
pepe-pepe,PEPE,Memecoins
mnt-mantle,MNT,Layer 2s & Scaling
dai-dai,DAI,Stablecoins
etc-ethereum-classic,ETC,Layer 1s
tao-bittensor,TAO,"Data, Oracles & Storage"
apt-aptos,APT,Layer 1s
ondo-ondo,ONDO,RWA & Tokenization
susds-susds,sUSDS,Other
near-near-protocol,NEAR,Layer 1s
m-memecore,M,Other
pi2-pi-network,PI,Layer 1s
eth-ethereum-token,WETH,Other
arb-arbitrum,ARB,Layer 2s & Scaling
icp-internet-computer,ICP,Layer 1s
jitosol-jito-staked-sol,JITOSOL,Liquid Staking
pol-polygon-ecosystem-token,POL,Layer 2s & Scaling
ip-story,IP,Other
kas-kaspa,KAS,Payments
reth-rocket-pool-eth,RETH,Liquid Staking
usd1-usd1,USD1,Stablecoins
vet-vechain,VET,Layer 1s
algo-algorand,ALGO,Layer 1s
rseth-rseth,RSETH,Other
gt-gatechain-token,GT,Exchange & CeFi Tokens
ftn-fasttoken,FTN,Other
jlp-jupiter-perpetuals-liquidity-provider-token,JLP,Other
pengu-pudgy-penguins,PENGU,Other
kcs-kucoin-token,KCS,Exchange & CeFi Tokens
rndr-render-token,RENDER,Other
wld-worldcoin,WLD,"Data, Oracles & Storage"
meth-meth,METH,Other
sei-sei,SEI,Layer 1s
atom-cosmos,ATOM,Layer 1s
sky-sky,SKY,Other
bfusd-bfusd,BFUSD,Other
trump-official-trump,TRUMP,Memecoins
pump-pumpfun,PUMP,Other
lseth-liquid-staked-ethereum,LSETH,Other
fetch-ai,FET,"Data, Oracles & Storage"
fil-filecoin,FIL,"Data, Oracles & Storage"
bnsol-binance-staked-sol,BNSOL,Other
bonk-bonk,BONK,Memecoins
lbtc-lombard-staked-btc,LBTC,Other
jup-jupiter-exchange-token,JUP,DeFi Core
flr-flare-network,FLR,Layer 1s
usdtb-usdtb,USDTB,Other
fdusd-first-digital-usd,FDUSD,Stablecoins
form-four,FORM,Other
ezeth-renzo-restaked-eth,EZETH,Other
wbnb-wrapped-bnb,WBNB,Other
op-optimism,OP,Layer 2s & Scaling
jupsol-jupiter-staked-sol,JUPSOL,Other
inj-injective-protocol,INJ,DeFi Core
qnt-quant,QNT,"Data, Oracles & Storage"
lend-ethlend,LEND,Other
usdf-falcon-finance,USDF,Other
solvbtc-solv-protocol-solvbtc,SOLVBTC,Other
stx-stacks,STX,Layer 2s & Scaling
aero-aerodrome-finance,AERO,DeFi Core
ldo-lido-dao,LDO,DeFi Core
spx-spx6900,SPX,Other
msol-marinade-staked-sol,MSOL,Liquid Staking
tia-celestia,TIA,"Data, Oracles & Storage"
xdc-xdc-network,XDC,Payments
stsol-lido-staked-sol,STSOL,Other
s-sonic,S,Layer 1s
usd0-usual-usd,USD0,Other
crv-curve-dao-token,CRV,DeFi Core
superoeth-super-oeth,SUPEROETH,Other
imx-immutable-x,IMX,"Consumer (e.g. Gaming, NFTs)"
ray-raydium,RAY,DeFi Core
kaia-kaia,KAIA,Layer 1s
stkaave-staked-aave,STKAAVE,Other
floki-floki-inu,FLOKI,Memecoins
xaut-tether-gold,XAUT,RWA & Tokenization
